iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	43	14	0	20	-0.396	-0.396	-0.396	-0.396	-0.396	-0.396	-0.396	-0.396				
2004	43	14	10	20	-0.385	-0.385	-0.385	-0.385	-0.385	-0.385	-0.385	-0.385				
2004	43	14	20	20	-0.387	-0.387	-0.387	-0.387	-0.387	-0.387	-0.387	-0.387				
2004	43	14	30	20	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366				
2004	43	14	40	20	-0.359	-0.359	-0.359	-0.359	-0.359	-0.359	-0.359	-0.359				
2004	43	14	50	20	-0.361	-0.361	-0.361	-0.361	-0.361	-0.361	-0.361	-0.361				
2004	43	15	0	20	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353	-0.353				
2004	43	15	10	20	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331				
2004	43	15	20	20	-0.293	-0.293	-0.293	-0.293	-0.293	-0.293	-0.293	-0.293				
2004	43	15	30	20	-0.284	-0.284	-0.284	-0.284	-0.284	-0.284	-0.284	-0.284				
2004	43	15	40	20	-0.269	-0.269	-0.269	-0.269	-0.269	-0.269	-0.269	-0.269				
2004	43	15	50	20	-0.274	-0.274	-0.274	-0.274	-0.274	-0.274	-0.274	-0.274				
2004	43	16	0	20	-0.267	-0.267	-0.267	-0.267	-0.267	-0.267	-0.267	-0.267				
2004	43	16	10	20	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276				
2004	43	16	20	20	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29	-0.29				
2004	43	16	30	20	-0.298	-0.298	-0.298	-0.298	-0.298	-0.298	-0.298	-0.298				
2004	43	16	40	20	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303				
2004	43	16	50	20	-0.305	-0.305	-0.305	-0.305	-0.305	-0.305	-0.305	-0.305				
2004	43	17	0	20	-0.307	-0.307	-0.307	-0.307	-0.307	-0.307	-0.307	-0.307				
2004	43	17	10	20	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303	-0.303				
2004	43	17	20	20	-0.299	-0.299	-0.299	-0.299	-0.299	-0.299	-0.299	-0.299				
2004	43	17	30	20	-0.297	-0.297	-0.297	-0.297	-0.297	-0.297	-0.297	-0.297				
2004	43	17	40	20	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296				
2004	43	17	50	20	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289				
2004	43	18	0	20	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276	-0.276				
2004	43	18	10	20	-0.268	-0.268	-0.268	-0.268	-0.268	-0.268	-0.268	-0.268				
